idx,avgs
:50,0.7779878794781174
:100,1.3947814401102425
:150,1.4010211890702169
:200,1.6251407678665952
:250,1.3369876884150949
:300,1.3183767265277055
:350,1.370450182579211
:400,1.4574090419652763
:450,1.5970199112211305
:500,1.0376528649139405
:550,1.694181635250286
:600,1.5789950180820838
:650,1.4976694386787905
:700,1.594612357695612
:750,1.5072889134237386
:800,1.4692569370599677
:850,1.395851839112237
:900,1.6174243156026569
:950,1.4319321772022258
:1000,1.4293536807988525
:1050,1.694659676576795
:1100,1.5872719856996877
:1150,1.4925767966968815
:1200,1.6020550966208815
:1250,1.3765918081640287
:1300,1.5911035294432587
:1350,1.1714191165652412
